日期	     累计确诊	现有确诊（含重症）	现有疑似	现有重症	累计死亡	累计治愈	累计确诊+现有疑似	新增确诊	新增疑似	新增(疑似+确诊)	死亡/确诊	观察中	更新时间	备注
20/1/2020	291	-	54	-	6	25	345	77	27	104	2.06%	922	21/1/2020	截至1月20日24时
21/1/2020	440	-	37	102	9	28	477	149	26	175	2.05%	1394	22/1/2020	截至1月21日24时
22/1/2020	571	-	393	95	17	49	964	131	257	388	2.98%	4928	23/1/2020	截至1月22日24时
23/1/2020	830	-	1072	177	25	34	1902	259	680	939	3.01%	8420	24/1/2020	截至1月23日24时
24/1/2020	1287	-	1965	237	41	38	3252	444	1118	1562	3.19%	13967	25/1/2020	截至1月24日24时
25/1/2020	1975	-	2684	324	56	49	4659	688	1309	1997	2.84%	21556	26/1/2020	截至1月25日24时
26/1/2020	2744	-	5794	461	80	51	8538	769	3806	4575	2.92%	30453	27/1/2020	截至1月26日24时
27/1/2020	4515	-	6973	976	106	60	11488	1771	2077	3848	2.35%	44132	28/1/2020	截至1月27日24时
28/1/2020	5974	-	9239	1239	132	103	15213	1459	3248	4707	2.21%	59990	29/1/2020	截至1月28日24时
29/1/2020	7711	-	12167	1370	170	124	19878	1737	4148	5885	2.20%	81947	30/1/2020	截至1月29日24时
30/1/2020	9692	-	15238	1527	213	171	24930	1982	4812	6794	2.20%	102427	31/1/2020	截至1月30日24时
31/1/2020	11791	-	17988	1795	259	243	29779	2102	5019	7121	2.20%	118478	1/2/2020	截至1月31日24时
1/2/2020	14380	-	19544	2110	304	328	33924	2590	4562	7152	2.11%	137594	2/2/2020	截至2月1日24时
2/2/2020	17205	-	21558	2296	361	475	38763	2829	5173	8002	2.10%	152700	3/2/2020	截至2月2日24时
3/2/2020	20438	-	23214	2788	425	632	43652	3235	5072	8307	2.08%	171329	4/2/2020	截至2月3日24时
4/2/2020	24324	-	23260	3219	490	892	47584	3887	3971	7858	2.01%	185555	5/2/2020	截至2月4日24时
5/2/2020	28018	-	24702	3859	563	1153	52720	3694	5328	9022	2.01%	186354	6/2/2020	截至2月5日24时
6/2/2020	31161	28985	26359	4821	636	1540	57520	3143	4833	7976	2.04%	186045	7/2/2020	截至2月6日24时
7/2/2020	34546	31774	27657	6101	722	2050	62203	3399	4214	7613	2.09%	189660	8/2/2020	截至2月7日24时
8/2/2020	37198	33738	28942	6188	811	2649	66140	2656	3916	6572	2.18%	188183	9/2/2020	截至2月8日24时
9/2/2020	40171	35982	23589	6484	908	3281	63760	3062	4008	7070	2.26%	187518	10/2/2020	截至2月9日24时
10/2/2020	42638	37626	21675	7333	1016	3996	64313	2478	3536	6014	2.38%	187728	11/2/2020	截至2月10日24时
11/2/2020	44653	38800	16067	8204	1113	4740	60720	2015	3342	5357	2.49%	185037	12/2/2020	截至2月11日24时
12/2/2020	59804	52526	13435	8030	1367	5911	73239	15152	2807	17959	2.29%	181386	13/2/2020	截至2月12日24时
13/2/2020	63851	55748	10109	10204	1380	6723	73960	5090	2450	7540	2.16%	177984	14/2/2020	截至2月13日24时
14/2/2020	66492	56873	8969	11053	1523	8096	75461	2641	2277	4918	2.29%	169039	15/2/2020	截至2月14日24时
15/2/2020	68500	57416	8228	11272	1665	9419	76728	2009	1918	3927	2.43%	158764	16/2/2020	截至2月15日24时
