"Source","Target","Citation.Count","Source.Type","Source.Year"
30786269,30786269,0,"Paper",2019
30785332,30785332,0,"Paper",2019
30785065,30785065,0,"Paper",2019
30783441,30783441,0,"Paper",2019
30782157,30782157,0,"Paper",2019
30781971,30781971,0,"Paper",2019
30781524,30781524,0,"Paper",2019
30779728,30779728,0,"Paper",2019
30779115,30779115,0,"Paper",2019
30777076,30777076,0,"Paper",2019
30777071,30777071,0,"Paper",2019
30775942,30775942,0,"Paper",2019
30774645,30774645,0,"Paper",2019
30774431,30774431,0,"Paper",2019
30765711,30765711,0,"Paper",2019
30764894,30764894,0,"Paper",2019
30763218,30763218,0,"Paper",2019
30760518,30760518,0,"Paper",2019
30756390,30756390,0,"Paper",2019
30746688,30746688,0,"Paper",2019
30745833,30745833,0,"Paper",2019
30745810,30745810,0,"Paper",2019
30745107,30745107,0,"Paper",2019
30744636,30744636,0,"Paper",2019
30742923,30742923,0,"Paper",2019
30738578,30738578,0,"Paper",2019
30737027,30737027,0,"Paper",2019
30736847,30736847,0,"Paper",2019
30736462,30736462,0,"Paper",2019
30735634,30735634,0,"Paper",2019
30734026,30734026,0,"Paper",2018
30733823,30733823,0,"Paper",2019
30728056,30728056,0,"Paper",2019
30722989,30722989,0,"Paper",2019
30721952,30721952,0,"Paper",2019
30720163,30720163,0,"Paper",2019
30720095,30720095,0,"Paper",2019
30720076,30720076,0,"Paper",2019
30719998,30719998,0,"Paper",2019
30719845,30719845,0,"Paper",2019
30719761,30719761,0,"Paper",2019
30717751,30717751,0,"Paper",2019
30716279,30716279,0,"Paper",2019
30715761,30715761,0,"Paper",2019
30714679,30714679,0,"Paper",2019
30714535,30714535,0,"Paper",2019
30711537,30711537,0,"Paper",2019
30710798,30710798,0,"Paper",2019
30709584,30709584,0,"Paper",2019
30709035,30709035,0,"Paper",2019
30700934,30700934,0,"Paper",2018
30700247,30700247,0,"Paper",2019
30698797,30698797,0,"Paper",2019
30697481,30697481,0,"Paper",2019
30696714,30696714,0,"Paper",2019
30696117,30696117,0,"Paper",2019
30695714,30695714,0,"Paper",2019
30693679,30693679,0,"Paper",2019
30693177,30693177,0,"Paper",2019
30692912,30692912,0,"Paper",2018
30692017,30692017,0,"Paper",2019
30692016,30692016,0,"Paper",2019
30689557,30689557,0,"Paper",2019
30688097,30688097,0,"Paper",2019
30685932,30685932,0,"Paper",2019
30684535,30684535,0,"Paper",2019
30683059,30683059,0,"Paper",2019
30681395,30681395,0,"Paper",2019
30681027,30681027,0,"Paper",2019
30680715,30680715,0,"Paper",2019
30678688,30678688,0,"Paper",2019
30675760,30675760,0,"Paper",2019
30675276,30675276,0,"Paper",2019
30674872,30674872,0,"Paper",2019
30674324,30674324,0,"Paper",2019
30673937,30673937,0,"Paper",2019
30672444,30672444,0,"Paper",2018
30670781,30670781,0,"Paper",2019
30670716,30670716,0,"Paper",2019
30670688,30670688,0,"Paper",2019
30666650,30666650,0,"Paper",2019
30665425,30665425,0,"Paper",2019
30664808,30664808,0,"Paper",2019
30664179,30664179,0,"Paper",2019
30663767,30663767,0,"Paper",2019
30662602,30662602,0,"Paper",2018
30659640,30659640,0,"Paper",2019
30657346,30657346,0,"Paper",2019
30656680,30656680,0,"Paper",2019
30655779,30655779,0,"Paper",2019
30655696,30655696,0,"Paper",2019
30654635,30654635,0,"Paper",2019
30654188,30654188,0,"Paper",2018
30651325,30651325,0,"Paper",2019
30643264,30643264,0,"Paper",2019
30640591,30640591,0,"Paper",2019
30640084,30640084,0,"Paper",2019
30639490,30639490,0,"Paper",2019
30633364,30633364,0,"Paper",2019
30630697,30630697,0,"Paper",2019
30630646,30630646,0,"Paper",2018
30630466,30630466,0,"Paper",2019
30629521,30629521,0,"Paper",2019
30628013,30628013,0,"Paper",2019
30623853,30623853,0,"Paper",2018
30621700,30621700,0,"Paper",2019
30619471,30619471,0,"Paper",2018
30619334,30619334,0,"Paper",2018
30615942,30615942,0,"Paper",2019
30614753,30614753,0,"Paper",2019
30614051,30614051,0,"Paper",2019
30613267,30613267,0,"Paper",2018
30612066,30612066,0,"Paper",2019
30611100,30611100,0,"Paper",2019
30608205,30608205,0,"Paper",2019
30602655,30602655,0,"Paper",2018
30598076,30598076,0,"Paper",2018
30598042,30598042,0,"Paper",2018
30597844,30597844,0,"Paper",2018
30597308,30597308,0,"Paper",2018
30592747,30592747,0,"Paper",2018
30591218,30591218,0,"Paper",2019
30591054,30591054,0,"Paper",2018
30590312,30590312,0,"Paper",2018
30590167,30590167,0,"Paper",2019
30587718,30587718,0,"Paper",2019
30585259,30585259,0,"Paper",2018
30582454,30582454,0,"Paper",2019
30577840,30577840,0,"Paper",2018
30576808,30576808,0,"Paper",2019
30576282,30576282,0,"Paper",2018
30576257,30576257,0,"Paper",2019
30575990,30575990,0,"Paper",2018
30575911,30575911,0,"Paper",2018
30575898,30575898,0,"Paper",2018
30569515,30569515,0,"Paper",2018
30567979,30567979,0,"Paper",2018
30566420,30566420,0,"Paper",2018
30565694,30565694,0,"Paper",2018
30565391,30565391,0,"Paper",2019
30563889,30563889,0,"Paper",2019
30563416,30563416,0,"Paper",2018
30558617,30558617,0,"Paper",2018
30556849,30556849,0,"Paper",2018
30556306,30556306,0,"Paper",2018
30551880,30551880,0,"Paper",2019
30551873,30551873,0,"Paper",2019
30551425,30551425,0,"Paper",2019
30550956,30550956,0,"Paper",2018
30548670,30548670,0,"Paper",2018
30548097,30548097,0,"Paper",2018
30546088,30546088,0,"Paper",2018
30545048,30545048,0,"Paper",2018
30542712,30542712,0,"Paper",2019
30525215,30525215,0,"Paper",2018
30524667,30524667,0,"Paper",2018
30524667,26052092,0,"Paper",2018
30524667,29448241,0,"Paper",2018
30524667,28296235,0,"Paper",2018
30524667,27903978,0,"Paper",2018
30524667,25404635,0,"Paper",2018
30524667,28520103,0,"Paper",2018
30524667,27050930,0,"Paper",2018
30524667,23446346,0,"Paper",2018
