"Source","Target","Citation.Count","Source.Type","Source.Year","Edge.Type"
30367585,26424084,1,"Other",2018,"Other"
30367585,21037263,1,"Other",2018,"Other"
30030469,24297251,4,"Other",2018,"Other"
30030469,23446348,4,"Other",2018,"Other"
30030469,27725737,4,"Other",2018,"Other"
30030469,24339831,4,"Other",2018,"Other"
30030469,29036403,4,"Other",2018,"Other"
30030469,26669964,4,"Other",2018,"Other"
30030469,25234927,4,"Other",2018,"Other"
30030469,26590255,4,"Other",2018,"Other"
30030469,26450965,4,"Other",2018,"Other"
30030469,27543790,4,"Other",2018,"Other"
24339831,21037263,107,"Other",2013,"Other"
24339831,23446348,107,"Other",2013,"Other"
29194536,24811520,10,"Other",2018,"Other"
29194536,24297251,10,"Other",2018,"Other"
29194536,26076956,10,"Other",2018,"Other"
29194536,24339831,10,"Other",2018,"Other"
29194536,27365365,10,"Other",2018,"Other"
29194536,26669964,10,"Other",2018,"Other"
29194536,25234927,10,"Other",2018,"Other"
29194536,26590255,10,"Other",2018,"Other"
29194536,26450965,10,"Other",2018,"Other"
30075703,26442529,2,"Identification",2018,"Identification"
30075703,25583365,2,"Identification",2018,"Identification"
30075703,26556385,2,"Identification",2018,"Identification"
30075703,23446348,2,"Identification",2018,"Identification"
30075703,26076956,2,"Identification",2018,"Identification"
30075703,20802226,2,"Identification",2018,"Identification"
30075703,24512684,2,"Identification",2018,"Identification"
30075703,29036403,2,"Identification",2018,"Identification"
30075703,25544350,2,"Identification",2018,"Identification"
30075703,26873924,2,"Identification",2018,"Identification"
30075703,26669964,2,"Identification",2018,"Identification"
30075703,25242744,2,"Identification",2018,"Identification"
30075703,25234927,2,"Identification",2018,"Identification"
30075703,27350239,2,"Identification",2018,"Identification"
27021280,25242744,10,"Identification",2016,"Identification"
27021280,25544350,10,"Identification",2016,"Identification"
29700306,23446348,6,"Other",2018,"Other"
29106456,20802226,4,"Other",2018,"Other"
29106456,24339831,4,"Other",2018,"Other"
29106456,24512684,4,"Other",2018,"Other"
29106456,25234927,4,"Other",2018,"Other"
29106456,25242744,4,"Other",2018,"Other"
29106456,25544350,4,"Other",2018,"Other"
29106456,25583365,4,"Other",2018,"Other"
29106456,26076956,4,"Other",2018,"Other"
29106456,26442529,4,"Other",2018,"Other"
27350239,24811520,37,"Identification",2016,"Identification"
27350239,25583365,37,"Identification",2016,"Identification"
27350239,25242744,37,"Identification",2016,"Identification"
27350239,26556385,37,"Identification",2016,"Identification"
27350239,23446348,37,"Identification",2016,"Identification"
27350239,26076956,37,"Identification",2016,"Identification"
27350239,24512684,37,"Identification",2016,"Identification"
27350239,25234927,37,"Identification",2016,"Identification"
27350239,25544350,37,"Identification",2016,"Identification"
28177064,22576177,2,"Identification",2017,"Identification"
29036403,24811520,27,"Other",2018,"Other"
29036403,24297251,27,"Other",2018,"Other"
29036403,25583365,27,"Other",2018,"Other"
29036403,23446348,27,"Other",2018,"Other"
29036403,27725737,27,"Other",2018,"Other"
29036403,26657634,27,"Other",2018,"Other"
29036403,26171810,27,"Other",2018,"Other"
29036403,24339831,27,"Other",2018,"Other"
29036403,27365365,27,"Other",2018,"Other"
29036403,26669964,27,"Other",2018,"Other"
29036403,25242744,27,"Other",2018,"Other"
29036403,25234927,27,"Other",2018,"Other"
29036403,26450965,27,"Other",2018,"Other"
29036403,27543790,27,"Other",2018,"Other"
29036403,25544350,27,"Other",2018,"Other"
29036403,27350239,27,"Other",2018,"Other"
30192918,25234927,0,"Identification",2019,"Identification"
30192918,27739534,0,"Identification",2019,"Identification"
30053265,23446348,15,"Other",2018,"Other"
30053265,27929140,15,"Other",2018,"Other"
30053265,25234927,15,"Other",2018,"Other"
25120561,24297251,7,"Other",2014,"Other"
