phenotype ,taxonomy rank level ,NCBI taxon id ,scientific name ,super kingdom ,Nr. runs in which the species/genus can be found ,mean relative abundance ,median relative abundance ,SD of relative abundance
D006262 ,species ,7 ,Azorhizobium caulinodans ,Bacteria ,3 ,0.0290208073333333 ,0.0248571 ,0.03102708349201 ,
D006262 ,species ,9 ,Buchnera aphidicola ,Bacteria ,251 ,0.00256925463346614 ,0.00201082 ,0.00235805885946527 ,
D006262 ,species ,11 ,Cellulomonas gilvus ,Bacteria ,10 ,0.0026760698 ,0.003220885 ,0.00197787304575916 ,
D006262 ,species ,14 ,Dictyoglomus thermophilum ,Bacteria ,7 ,0.00127959885714286 ,0.00121017 ,0.000759806338178448 ,
D006262 ,species ,17 ,Methylophilus methylotrophus ,Bacteria ,36 ,0.00314798880555556 ,0.002882575 ,0.00214054955679046 ,
D006262 ,species ,19 ,Pelobacter carbinolicus ,Bacteria ,330 ,0.00745612391212121 ,0.002017345 ,0.0489050290109299 ,
D006262 ,species ,24 ,Shewanella putrefaciens ,Bacteria ,218 ,0.011393020083945 ,0.001372525 ,0.0725637445763621 ,
D006262 ,species ,25 ,Shewanella hanedai ,Bacteria ,1 ,0.00332403 ,0.00332403 , ,
D006262 ,species ,33 ,Myxococcus fulvus ,Bacteria ,5 ,0.0083153384 ,0.00117726 ,0.0139266657850652 ,
D006262 ,species ,35 ,Corallococcus macrosporus ,Bacteria ,1 ,0.000172818 ,0.000172818 , ,
D006262 ,species ,41 ,Stigmatella aurantiaca ,Bacteria ,5 ,0.002576323 ,0.000743721 ,0.00359250326911076 ,
D006262 ,species ,51 ,Chondromyces apiculatus ,Bacteria ,25 ,0.00122797652 ,0.000743721 ,0.00165233902384337 ,
D006262 ,species ,54 ,Nannocystis exedens ,Bacteria ,23 ,0.00143681234782609 ,0.00107117 ,0.00108400317216957 ,
D006262 ,species ,56 ,Sorangium cellulosum ,Bacteria ,16 ,0.00125583035625 ,0.00107869 ,0.000873571894421917 ,
D006262 ,species ,61 ,Vitreoscilla stercoraria ,Bacteria ,41 ,0.00282787214634146 ,0.0017592 ,0.00319456412798474 ,
D006262 ,species ,69 ,Lysobacter enzymogenes ,Bacteria ,20 ,0.0067134916 ,0.001182245 ,0.0147760629920771 ,
D006262 ,species ,72 ,Simonsiella muelleri ,Bacteria ,64 ,0.0038649620234375 ,0.00205801 ,0.00740008067092038 ,
D006262 ,species ,78 ,Caulobacter sp. ,Bacteria ,1 ,0.00245 ,0.00245 , ,
D006262 ,species ,83 ,Hyphomicrobium vulgare ,Bacteria ,18 ,0.00533805527777778 ,0.001074775 ,0.0126464652689684 ,
D006262 ,species ,84 ,Hyphomicrobium methylovorum ,Bacteria ,3 ,0.00490070466666667 ,0.00142446 ,0.00689997003132806 ,
D006262 ,species ,86 ,Hyphomonas jannaschiana ,Bacteria ,42 ,0.00170312302380952 ,0.0009092835 ,0.00162362178290035 ,
D006262 ,species ,94 ,Stella humosa ,Bacteria ,28 ,0.00193388021428571 ,0.001625805 ,0.00122824714487081 ,
D006262 ,species ,102 ,Polaribacter glomeratus ,Bacteria ,43 ,0.00116670879069767 ,0.000774317 ,0.00127215686462717 ,
D006262 ,species ,103 ,Flectobacillus major ,Bacteria ,158 ,0.00292407294303797 ,0.00137363 ,0.00553517843323765 ,
D006262 ,species ,104 ,Cyclobacterium marinum ,Bacteria ,8 ,0.0088366025 ,0.002967255 ,0.0154746304116473 ,
D006262 ,species ,106 ,Runella slithyformis ,Bacteria ,38 ,0.0796507616842105 ,0.06564015 ,0.0725563993428688 ,
D006262 ,species ,108 ,Spirosoma linguale ,Bacteria ,8 ,0.021317719125 ,0.000951646 ,0.0567035673548813 ,
D006262 ,species ,114 ,Gemmata obscuriglobus ,Bacteria ,300 ,0.00948563265333333 ,0.001870865 ,0.0792277050304995 ,
D006262 ,species ,119 ,Rubinisphaera brasiliensis ,Bacteria ,95 ,0.00234380622105263 ,0.00109322 ,0.00396710654592162 ,
D006262 ,species ,120 ,Planctopirus limnophila ,Bacteria ,16 ,0.0019478208125 ,0.001099626 ,0.0018556864255028 ,
D006262 ,species ,122 ,Gimesia maris ,Bacteria ,216 ,0.00415680682407407 ,0.001368465 ,0.0189158271225106 ,
D006262 ,species ,124 ,Blastopirellula marina ,Bacteria ,28 ,0.00357578053571429 ,0.001042686 ,0.00900336461394528 ,
D006262 ,species ,125 ,Pirellula staleyi ,Bacteria ,160 ,0.00349352679375 ,0.00141891 ,0.0117471230425192 ,
D006262 ,species ,128 ,Isosphaera pallida ,Bacteria ,32 ,0.01186331340625 ,0.000593239 ,0.0578514669453526 ,
D006262 ,species ,134 ,Methylocystis parvus ,Bacteria ,2 ,0.001309496 ,0.001309496 ,0.000616235074522702 ,
D006262 ,species ,139 ,Borreliella burgdorferi ,Bacteria ,1 ,0.00171493 ,0.00171493 , ,
D006262 ,species ,140 ,Borrelia hermsii ,Bacteria ,1 ,0.000714556 ,0.000714556 , ,
D006262 ,species ,142 ,Borrelia turicatae ,Bacteria ,2 ,0.0005734315 ,0.0005734315 ,2.52649252917953e-06 ,
D006262 ,species ,144 ,Borrelia coriaceae ,Bacteria ,2 ,0.0016353455 ,0.0016353455 ,0.000953129736458002 ,
D006262 ,species ,147 ,Spirochaeta aurantia ,Bacteria ,17 ,0.0029163195 ,0.00121729 ,0.00395623666717795 ,
D006262 ,species ,148 ,Spirochaeta bajacaliforniensis ,Bacteria ,54 ,0.0040049752537037 ,0.001073415 ,0.00704827375085349 ,
D006262 ,species ,150 ,Spirochaeta isovalerica ,Bacteria ,35 ,0.00134366639142857 ,0.000721808 ,0.00203468121229304 ,
D006262 ,species ,151 ,Spirochaeta litoralis ,Bacteria ,26 ,0.00247286384615385 ,0.001032545 ,0.0032045261460042 ,
D006262 ,species ,152 ,Treponema stenostreptum ,Bacteria ,48 ,0.00150755609791667 ,0.000831222 ,0.00143492832276009 ,
D006262 ,species ,154 ,Spirochaeta thermophila ,Bacteria ,22 ,0.00195423157727273 ,0.000849273 ,0.00190660781224949 ,
D006262 ,species ,156 ,Treponema zuelzerae ,Bacteria ,3 ,0.003995419 ,0.00342654 ,0.00333327084604042 ,
D006262 ,species ,158 ,Treponema denticola ,Bacteria ,102 ,0.00968688707352941 ,0.002141525 ,0.0290406978894729 ,
D006262 ,species ,159 ,Brachyspira hyodysenteriae ,Bacteria ,10 ,0.0077532581 ,0.004141155 ,0.0131198875236411 ,
D006262 ,species ,160 ,Treponema pallidum ,Bacteria ,50 ,0.087244009434 ,0.02604689 ,0.12315737429405 ,
D006262 ,species ,162 ,Treponema phagedenis ,Bacteria ,10 ,0.00183977887 ,0.001468165 ,0.00223665089579414 ,
D006262 ,species ,163 ,Treponema bryantii ,Bacteria ,33 ,0.00565652305151515 ,0.00268528 ,0.00899808378547842 ,
D006262 ,species ,164 ,Treponema pectinovorum ,Bacteria ,23 ,0.0183485639565217 ,0.00247948 ,0.0641966769844568 ,
D006262 ,species ,167 ,Treponema succinifaciens ,Bacteria ,114 ,2.53623027571053 ,0.178985 ,5.27977955614314 ,
D006262 ,species ,172 ,Leptospira biflexa ,Bacteria ,3 ,0.000532044 ,0.00046037 ,0.000429479187629622 ,
D006262 ,species ,173 ,Leptospira interrogans ,Bacteria ,4 ,0.0013953015 ,0.0014811695 ,0.00118990418733345 ,
D006262 ,species ,174 ,Leptospira borgpetersenii ,Bacteria ,18 ,0.0012212475 ,0.000898749 ,0.00124917767359516 ,
D006262 ,species ,180 ,Leptospirillum ferrooxidans ,Bacteria ,16 ,0.00195635723125 ,0.00179348 ,0.00131340918451882 ,
D006262 ,species ,183 ,Leptonema illini ,Bacteria ,247 ,0.00343940244534413 ,0.00343666 ,0.00217729040980724 ,
D006262 ,species ,188 ,Magnetospirillum magnetotacticum ,Bacteria ,10 ,0.0003986674 ,0.000304453 ,0.000312167004718521 ,
D006262 ,species ,189 ,Novispirillum itersonii ,Bacteria ,25 ,0.00460536872 ,0.00153283 ,0.00748869546930175 ,
D006262 ,species ,190 ,Aquaspirillum serpens ,Bacteria ,93 ,0.0519621098494624 ,0.002465 ,0.44387476986422 ,
D006262 ,species ,192 ,Azospirillum brasilense ,Bacteria ,60 ,0.004016984575 ,0.0007790455 ,0.0161662201674037 ,
D006262 ,species ,193 ,Azospirillum lipoferum ,Bacteria ,117 ,0.0302851813760684 ,0.00144772 ,0.153530632874997 ,
D006262 ,species ,195 ,Campylobacter coli ,Bacteria ,9 ,0.0467484797777778 ,0.000932758 ,0.123937123478961 ,
D006262 ,species ,196 ,Campylobacter fetus ,Bacteria ,54 ,0.00318067275 ,0.001331715 ,0.00523841924627055 ,
D006262 ,species ,197 ,Campylobacter jejuni ,Bacteria ,103 ,0.214114879870874 ,0.00185329 ,1.8413102818278 ,
D006262 ,species ,198 ,Campylobacter hyointestinalis ,Bacteria ,33 ,0.203833374787879 ,0.00107963 ,0.785971573880772 ,
D006262 ,species ,199 ,Campylobacter concisus ,Bacteria ,645 ,0.0379505896294574 ,0.00302819 ,0.194592476207661 ,
D006262 ,species ,200 ,Campylobacter curvus ,Bacteria ,44 ,0.00832417940909091 ,0.00222547 ,0.0330583547454716 ,
D006262 ,species ,201 ,Campylobacter lari ,Bacteria ,2 ,0.000897091 ,0.000897091 ,0.000208722365457083 ,
D006262 ,species ,202 ,Campylobacter mucosalis ,Bacteria ,45 ,0.0140827857933333 ,0.0018596 ,0.0583139621386193 ,
D006262 ,species ,203 ,Campylobacter rectus ,Bacteria ,29 ,0.00206484 ,0.00147067 ,0.00218971384414932 ,
D006262 ,species ,204 ,Campylobacter showae ,Bacteria ,174 ,0.0224338812626437 ,0.002599225 ,0.178124699387041 ,
D006262 ,species ,206 ,Campylobacter sputorum ,Bacteria ,18 ,0.00326541572222222 ,0.001060225 ,0.00378791230356875 ,
D006262 ,species ,210 ,Helicobacter pylori ,Bacteria ,169 ,0.0127163643136095 ,0.00194352 ,0.0692919227985653 ,
D006262 ,species ,211 ,Helicobacter sp. CLO-3 ,Bacteria ,2 ,0.000572126 ,0.000572126 ,0.000314242496199989 ,
D006262 ,species ,213 ,Helicobacter cinaedi ,Bacteria ,28 ,0.0682519183571429 ,0.002296815 ,0.282013695850492 ,
D006262 ,species ,214 ,Helicobacter felis ,Bacteria ,16 ,0.0250079965625 ,0.00283214 ,0.0899408620299395 ,
D006262 ,species ,215 ,Helicobacter fennelliae ,Bacteria ,4 ,0.00230786925 ,0.002427884 ,0.00202644146490696 ,
D006262 ,species ,216 ,Helicobacter muridarum ,Bacteria ,3 ,0.00256097523333333 ,0.00278567 ,0.00240679149637919 ,
D006262 ,species ,217 ,Helicobacter mustelae ,Bacteria ,20 ,0.0029170257 ,0.0008079435 ,0.00547449325266685 ,
D006262 ,species ,228 ,Pseudoalteromonas haloplanktis ,Bacteria ,79 ,0.00475165681898734 ,0.00106852 ,0.0152000428037759 ,
D006262 ,species ,236 ,Brucella ovis ,Bacteria ,1 ,0.000857467 ,0.000857467 , ,
D006262 ,species ,238 ,Elizabethkingia meningoseptica ,Bacteria ,12 ,0.0069501985 ,0.00251809 ,0.0164778656865778 ,
D006262 ,species ,245 ,Flavobacterium aquatile ,Bacteria ,89 ,0.0616160430561798 ,0.00118634 ,0.385009326447555 ,
D006262 ,species ,246 ,Chryseobacterium balustinum ,Bacteria ,192 ,0.0108161185598958 ,0.002769145 ,0.0480862725162125 ,
D006262 ,species ,247 ,Empedobacter brevis ,Bacteria ,74 ,0.0153528991283784 ,0.00148663 ,0.0694091448842971 ,
D006262 ,species ,249 ,Terrimonas ferruginea ,Bacteria ,38 ,0.00193259509736842 ,0.00142045 ,0.00193920186333402 ,
D006262 ,species ,250 ,Chryseobacterium gleum ,Bacteria ,21 ,0.00334455985714286 ,0.00350116 ,0.00204220837777036 ,
D006262 ,species ,252 ,Halomonas halmophila ,Bacteria ,71 ,0.00401231670422535 ,0.00385743 ,0.00324765911892396 ,
D006262 ,species ,253 ,Chryseobacterium indologenes ,Bacteria ,67 ,0.0102276736865672 ,0.00505766 ,0.0186927118553284 ,
D006262 ,species ,254 ,Chryseobacterium indoltheticum ,Bacteria ,63 ,0.16465478531746 ,0.0026039 ,0.978067973267451 ,
D006262 ,species ,256 ,Myroides odoratus ,Bacteria ,107 ,0.00375874127102804 ,0.00299531 ,0.00541215157757528 ,
D006262 ,species ,258 ,Sphingobacterium spiritivorum ,Bacteria ,78 ,0.029042955025641 ,0.002563905 ,0.218032048213268 ,
D006262 ,species ,259 ,Sphingobacterium thalpophilum ,Bacteria ,89 ,0.00584048249101124 ,0.00271304 ,0.0214237873177665 ,
D006262 ,species ,263 ,Francisella tularensis ,Bacteria ,18 ,0.00859452494444444 ,0.00270135 ,0.0243820737199759 ,
D006262 ,species ,266 ,Paracoccus denitrificans ,Bacteria ,92 ,0.0145818313586957 ,0.00420145 ,0.0321560209557453 ,
D006262 ,species ,267 ,Paracoccus sp. ,Bacteria ,2 ,0.01106 ,0.01106 ,0.00958836795288959 ,
D006262 ,species ,271 ,Thermus aquaticus ,Bacteria ,6 ,0.00166653766666667 ,0.000503409 ,0.00191180822544539 ,
D006262 ,species ,274 ,Thermus thermophilus ,Bacteria ,70 ,0.0230668098857143 ,0.006473675 ,0.0658361671561575 ,
D006262 ,species ,276 ,Thermus filiformis ,Bacteria ,8 ,0.0018143295 ,0.0011266555 ,0.00173593580795827 ,
D006262 ,species ,277 ,Meiothermus ruber ,Bacteria ,41 ,0.00259934477317073 ,0.00223116 ,0.00194600830105546 ,
D006262 ,species ,280 ,Xanthobacter autotrophicus ,Bacteria ,4 ,0.0308856725 ,0.00483312 ,0.0541707107506799 ,
D006262 ,species ,285 ,Comamonas testosteroni ,Bacteria ,285 ,0.147271413075439 ,0.0031839 ,1.06947370633645 ,
D006262 ,species ,287 ,Pseudomonas aeruginosa ,Bacteria ,1049 ,0.479508688328885 ,0.00475949 ,3.3014695164125 ,
D006262 ,species ,292 ,Burkholderia cepacia ,Bacteria ,121 ,1.18976886910744 ,0.0344293 ,2.82046764051171 ,
D006262 ,species ,293 ,Brevundimonas diminuta ,Bacteria ,411 ,0.351150550407056 ,0.00295247 ,2.7040107074026 ,
D006262 ,species ,294 ,Pseudomonas fluorescens ,Bacteria ,1028 ,0.066650814682393 ,0.004317445 ,0.507463021837706 ,
D006262 ,species ,296 ,Pseudomonas fragi ,Bacteria ,43 ,0.0384227906976744 ,0.03213 ,0.0360402327647986 ,
D006262 ,species ,297 ,Hydrogenophilus thermoluteolus ,Bacteria ,62 ,0.00770037422580645 ,0.002887675 ,0.0215329759154778 ,
D006262 ,species ,300 ,Pseudomonas mendocina ,Bacteria ,139 ,0.076891315352518 ,0.00510178 ,0.19428187947436 ,
D006262 ,species ,301 ,Pseudomonas oleovorans ,Bacteria ,127 ,0.0260372659606299 ,0.00492975 ,0.0973950537689076 ,
D006262 ,species ,303 ,Pseudomonas putida ,Bacteria ,328 ,0.0196577646097561 ,0.00497246 ,0.0591117927404621 ,
D006262 ,species ,304 ,Pelomonas saccharophila ,Bacteria ,1 ,0.000275916 ,0.000275916 , ,
D006262 ,species ,305 ,Ralstonia solanacearum ,Bacteria ,113 ,0.146378724376106 ,0.00496796 ,0.45237571052614 ,
D006262 ,species ,306 ,Pseudomonas sp. ,Bacteria ,76 ,0.0780736842105263 ,0.020305 ,0.178276709070232 ,
D006262 ,species ,316 ,Pseudomonas stutzeri ,Bacteria ,663 ,0.0177040667466063 ,0.00447868 ,0.0635556815863761 ,
D006262 ,species ,317 ,Pseudomonas syringae ,Bacteria ,354 ,0.233880387059322 ,0.005833075 ,1.05823644119534 ,
D006262 ,species ,329 ,Ralstonia pickettii ,Bacteria ,247 ,0.178922964834008 ,0.0061393 ,0.443940833714677 ,
D006262 ,species ,337 ,Burkholderia glumae ,Bacteria ,1 ,0.00114329 ,0.00114329 , ,
D006262 ,species ,339 ,Xanthomonas campestris ,Bacteria ,66 ,0.00550180628787879 ,0.00258839 ,0.00952278756129667 ,
D006262 ,species ,343 ,Xanthomonas translucens ,Bacteria ,14 ,0.290149928571429 ,0.00175773 ,1.07037032929553 ,
D006262 ,species ,346 ,Xanthomonas citri ,Bacteria ,18 ,0.0304399557777778 ,0.00543357 ,0.0681127030557081 ,
D006262 ,species ,347 ,Xanthomonas oryzae ,Bacteria ,67 ,0.00599014395522388 ,0.00245785 ,0.0108127714442724 ,
D006262 ,species ,350 ,Zoogloea ramigera ,Bacteria ,135 ,0.00453248817777778 ,0.00343501 ,0.00547288584471215 ,
D006262 ,species ,353 ,Azotobacter chroococcum ,Bacteria ,4 ,0.00055353125 ,0.0005471385 ,0.000422000680780158 ,
D006262 ,species ,354 ,Azotobacter vinelandii ,Bacteria ,11 ,0.00275484824545455 ,0.00162882 ,0.00228914850962002 ,
D006262 ,species ,358 ,Agrobacterium tumefaciens ,Bacteria ,100 ,0.01261723286 ,0.00149148 ,0.0988109184820058 ,
D006262 ,species ,373 ,Agrobacterium vitis ,Bacteria ,22 ,0.00144533313636364 ,0.00115433 ,0.00135623426128921 ,
D006262 ,species ,375 ,Bradyrhizobium japonicum ,Bacteria ,49 ,0.00283500759183673 ,0.00200413 ,0.00362114130055356 ,
D006262 ,species ,380 ,Sinorhizobium fredii ,Bacteria ,15 ,0.00773422146666667 ,0.00408397 ,0.0102346741509641 ,
D006262 ,species ,381 ,Mesorhizobium loti ,Bacteria ,126 ,0.351066676666667 ,0.004878155 ,1.02900026285552 ,
D006262 ,species ,382 ,Sinorhizobium meliloti ,Bacteria ,62 ,0.0158655053225806 ,0.00251263 ,0.0372941040809087 ,
D006262 ,species ,384 ,Rhizobium leguminosarum ,Bacteria ,27 ,0.00516454121111111 ,0.00183645 ,0.00748425522012325 ,
D006262 ,species ,398 ,Rhizobium tropici ,Bacteria ,2 ,0.000770455 ,0.000770455 ,0.000123053550489208 ,
D006262 ,species ,399 ,Neorhizobium galegae ,Bacteria ,1 ,0.00285242 ,0.00285242 , ,
D006262 ,species ,405 ,Methylobacillus flagellatus ,Bacteria ,72 ,0.00452795801388889 ,0.00296663 ,0.00707904751463952 ,
D006262 ,species ,406 ,Methylobacillus glycogenes ,Bacteria ,16 ,0.0093637610625 ,0.00284344 ,0.0204108605669195 ,
D006262 ,species ,408 ,Methylobacterium extorquens ,Bacteria ,108 ,0.00696661081481481 ,0.00137737 ,0.0206997019985486 ,
D006262 ,species ,410 ,Methylobacterium organophilum ,Bacteria ,63 ,0.00544635343968254 ,0.0015966 ,0.0151472383744103 ,
D006262 ,species ,414 ,Methylococcus capsulatus ,Bacteria ,92 ,0.00952189574673913 ,0.001424075 ,0.0418901248932247 ,
D006262 ,species ,415 ,Methylobacter luteus ,Bacteria ,160 ,0.003427962353125 ,0.00225779 ,0.00791856688632887 ,
D006262 ,species ,421 ,Methylomonas methanica ,Bacteria ,48 ,0.00384439927083333 ,0.001904655 ,0.00541424689016547 ,
D006262 ,species ,424 ,Methylomonas rubra ,Bacteria ,3 ,0.00168398566666667 ,0.000880607 ,0.00190235732205239 ,
D006262 ,species ,426 ,Methylosinus trichosporium ,Bacteria ,103 ,0.00161592423300971 ,0.00117487 ,0.00136632229430005 ,
D006262 ,species ,428 ,Methylosinus sporium ,Bacteria ,2 ,0.00300819 ,0.00300819 ,0.00364384852267489 ,
D006262 ,species ,435 ,Acetobacter aceti ,Bacteria ,3 ,0.00279148666666667 ,0.00304794 ,0.000899044396308288 ,
